timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-05T13:41:41,iris-prediction,6842e1db-4586-4d99-89b0-095d4505feb8,0.4990148544311523,7.654136528261397e-07,1.5338494356018043e-06,22.5,0.0,2.910233974456787,3.118133544921875e-06,0.0,4.022721767904614e-07,3.5204057217123366e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T13:50:15,iris-prediction,22cdea54-882e-4754-bd18-0e6091e9978d,0.5031177997589111,7.716757561344463e-07,1.5337874281216553e-06,22.5,0.0,2.910233974456787,3.1436935067176817e-06,0.0,4.055138234257546e-07,3.5492073301434365e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T13:50:21,iris-prediction,98c43b2e-38b7-4af3-a6ce-0db3409d60d7,0.4986987113952636,7.649504631980488e-07,1.533893001363215e-06,22.5,0.0,2.910233974456787,3.116276860237122e-06,0.0,4.0199848999445e-07,3.518275350231572e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:02:24,iris-prediction,596497f3-46f2-4426-b9ac-1eb05e726173,0.4992108345031738,7.657072399185435e-07,1.5338353797561166e-06,22.5,0.0,2.910233974456787,3.119353950023651e-06,0.0,4.024020816499767e-07,3.521756031673628e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:02:30,iris-prediction,78016781-7e0c-4b7b-97b0-6b7f6e0e72d6,0.4987730979919433,7.650703566937721e-07,1.5339046146914087e-06,22.5,0.0,2.910233974456787,3.116731345653534e-06,0.0,4.020954367961357e-07,3.518826782449669e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:05:37,iris-prediction,0cfa40ec-7d42-45c9-8f3d-5646a8361578,0.5012660026550293,7.688918487072106e-07,1.533899854836876e-06,22.5,0.0,2.910233974456787,3.1323194503784176e-06,0.0,4.040837135480047e-07,3.5364031639264222e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:05:43,iris-prediction,13d915b0-4cfb-4061-8426-d6492bf6de3d,0.4991133213043213,7.65598486358137e-07,1.5339171560426725e-06,22.5,0.0,2.910233974456787,3.118872642517089e-06,0.0,4.023831934063082e-07,3.5212558359233977e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:12:09,iris-prediction,18965b4f-e395-45fa-abc6-ce55045b8c27,0.5029628276824951,7.714058455038349e-07,1.5337233748630018e-06,22.5,0.0,2.910233974456787,3.142672777175904e-06,0.0,4.0529313935432283e-07,3.5479659165302263e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:12:16,iris-prediction,c5093ec2-6dac-4745-8209-17debeb3437b,0.5031259059906006,7.716923112214921e-07,1.5337956206053698e-06,22.5,0.0,2.910233974456787,3.143748641014099e-06,0.0,4.0553483177840613e-07,3.549283472792505e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:21:43,iris-prediction,d786f3d8-78da-4ca0-b38f-4c0364960dec,0.5042421817779541,7.73461034011238e-07,1.533907836278235e-06,22.5,0.0,2.910233974456787,3.150905668735504e-06,0.0,4.065127802311965e-07,3.5574184489667005e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
